,Name,Team,team_short_name,first_name,second_name,now_cost,element_type,pred_points
0,Bernd Leno,Arsenal,ARS,Bernd,Leno,45,GK,0.0
1,Runar Alex Runarsson,Arsenal,ARS,Runar Alex,Runarsson,40,GK,0.0014336811145767
2,Willian Borges Da Silva,Arsenal,ARS,Willian,Borges Da Silva,63,MID,3.6716599464416495
3,Pierre-Emerick Aubameyang,Arsenal,ARS,Pierre-Emerick,Aubameyang,96,FWD,12.973090171813965
4,Cedric Soares,Arsenal,ARS,Cedric,Soares,42,DEF,1.1004273891448977
5,Alexandre Lacazette,Arsenal,ARS,Alexandre,Lacazette,81,FWD,3.0500895977020264
6,Granit Xhaka,Arsenal,ARS,Granit,Xhaka,48,MID,1.823037028312683
7,Pablo Mari,Arsenal,ARS,Pablo,Mari,42,DEF,1.3057312965393066
8,Hector Bellerin,Arsenal,ARS,Hector,Bellerin,48,DEF,0.7630253434181213
9,Sead Kolasinac,Arsenal,ARS,Sead,Kolasinac,42,DEF,0.0
10,Mohamed Naser El Sayed Elneny,Arsenal,ARS,Mohamed Naser,El Sayed Elneny,44,MID,0.5570526123046875
11,Ainsley Maitland-Niles,Arsenal,ARS,Ainsley,Maitland-Niles,52,MID,0.3342540264129638
12,Rob Holding,Arsenal,ARS,Rob,Holding,41,DEF,0.0
13,Thomas Partey,Arsenal,ARS,Thomas,Partey,50,MID,1.326601505279541
14,Kieran Tierney,Arsenal,ARS,Kieran,Tierney,49,DEF,6.020374774932861
15,Nicolas Pepe,Arsenal,ARS,Nicolas,Pepe,69,MID,2.7933895587921143
16,Lucas Torreira,Arsenal,ARS,Lucas,Torreira,45,MID,1.024285078048706
17,Edward Nketiah,Arsenal,ARS,Edward,Nketiah,56,FWD,0.0
18,Emile Smith Rowe,Arsenal,ARS,Emile,Smith Rowe,57,MID,0.0
19,Bukayo Saka,Arsenal,ARS,Bukayo,Saka,67,MID,1.2029350996017456
20,Gabriel Magalhaes,Arsenal,ARS,Gabriel,Magalhaes,54,DEF,0.0
21,Konstantinos Mavropanos,Arsenal,ARS,Konstantinos,Mavropanos,45,DEF,0.0809252858161926
22,Matteo Guendouzi,Arsenal,ARS,Matteo,Guendouzi,45,MID,0.0
23,Gabriel Teodoro Martinelli Silva,Arsenal,ARS,Gabriel Teodoro,Martinelli Silva,53,MID,1.1387320756912231
24,William Saliba,Arsenal,ARS,William,Saliba,45,DEF,0.0
25,Ben White,Arsenal,ARS,Ben,White,46,DEF,0.9248073697090148
26,Nuno Varela Tavares,Arsenal,ARS,Nuno,Varela Tavares,43,DEF,0.0
27,Albert Sambi Lokonga,Arsenal,ARS,Albert,Sambi Lokonga,48,MID,0.0
28,Folarin Balogun,Arsenal,ARS,Folarin,Balogun,47,FWD,0.0
29,Reiss Nelson,Arsenal,ARS,Reiss,Nelson,50,MID,0.661190390586853
30,Karl Hein,Arsenal,ARS,Karl,Hein,40,GK,0.0
31,Martin Odegaard,Arsenal,ARS,Martin,Odegaard,56,MID,1.6227728128433228
32,Aaron Ramsdale,Arsenal,ARS,Aaron,Ramsdale,51,GK,2.620071649551392
33,Arthur Okonkwo,Arsenal,ARS,Arthur,Okonkwo,39,GK,0.0
34,Takehiro Tomiyasu,Arsenal,ARS,Takehiro,Tomiyasu,45,DEF,2.709994316101074
35,Charlie Patino,Arsenal,ARS,Charlie,Patino,45,MID,0.0
36,Omari Hutchinson,Arsenal,ARS,Omari,Hutchinson,45,MID,0.0
37,Salah-Eddine Oulad M'hand,Arsenal,ARS,Salah-Eddine,Oulad M'hand,45,MID,0.0
38,Mika Biereth,Arsenal,ARS,Mika,Biereth,45,FWD,0.0
39,Ryan Alebiosu,Arsenal,ARS,Ryan,Alebiosu,40,DEF,0.0
40,Zach Awe,Arsenal,ARS,Zach,Awe,40,DEF,0.0
41,Zak Swanson,Arsenal,ARS,Zak,Swanson,40,DEF,0.0
42,Mazeed Ogungbo,Arsenal,ARS,Mazeed,Ogungbo,40,DEF,0.0
43,Marcelo Flores,Arsenal,ARS,Marcelo,Flores,45,MID,0.0
44,Miguel Azeez,Arsenal,ARS,Miguel,Azeez,45,MID,0.0
45,Alex Kirk,Arsenal,ARS,Alex,Kirk,40,DEF,0.0
46,Calum Chambers,Aston Villa,AVL,Calum,Chambers,42,DEF,0.9139456748962402
47,Jed Steer,Aston Villa,AVL,Jed,Steer,39,GK,0.0570797994732856
