mergednewScores
,name,pred_points,Unnamed: 0,first_name,second_name,Name,element_type,Team,now_cost
0,Aaron Cresswell,2.7867636680603000,627,Aaron,Cresswell,Aaron Cresswell,DEF,West Ham,5.3
1,Aaron Lennon,4.056096076965330,174,Aaron,Lennon,Aaron Lennon,MID,Burnley,4.9
2,Aaron Ramsey,1.3083064556121800,63,Aaron,Ramsey,Aaron Ramsey,MID,Aston Villa,4.4
3,Adam Forshaw,1.1388635635376000,336,Adam,Forshaw,Adam Forshaw,MID,Leeds,4.5
4,Adam Lallana,0.0,111,Adam,Lallana,Adam Lallana,MID,Brighton,5.3
5,Alex Iwobi,0.0,251,Alex,Iwobi,Alex Iwobi,MID,Everton,5.8
6,Alex McCarthy,0.0,514,Alex,McCarthy,Alex McCarthy,GK,Southampton,4.4
7,Alex Oxlade-Chamberlain,0.9062291383743290,354,Alex,Oxlade-Chamberlain,Alex Oxlade-Chamberlain,MID,Liverpool,5.8
8,Andreas Pereira,0.0,440,Andreas,Pereira,Andreas Pereira,MID,Man Utd,5.0
9,Andrew Robertson,4.739302158355710,361,Andrew,Robertson,Andrew Robertson,DEF,Liverpool,7.0
10,Andre Gray,8.354582786560060,583,Andre,Gray,Andre Gray,FWD,Watford,5.4
11,Andros Townsend,10.75607967376710,260,Andros,Townsend,Andros Townsend,MID,Everton,5.2
12,Angelo Ogbonna,1.7920721769332900,625,Angelo,Ogbonna,Angelo Ogbonna,DEF,West Ham,4.9
13,Anthony Martial,3.215264320373540,425,Anthony,Martial,Anthony Martial,FWD,Man Utd,7.6
14,Arthur Masuaku,0.0,633,Arthur,Masuaku,Arthur Masuaku,DEF,West Ham,4.4
15,Ashley Barnes,2.3085880279541000,156,Ashley,Barnes,Ashley Barnes,FWD,Burnley,5.2
16,Ashley Young,1.7619284391403200,59,Ashley,Young,Ashley Young,DEF,Aston Villa,4.7
17,Bamidele Alli,2.572068691253660,553,Bamidele,Alli,Bamidele Alli,MID,Spurs,6.2
18,Benjamin Chilwell,1.9045913219451900,192,Benjamin,Chilwell,Benjamin Chilwell,DEF,Chelsea,5.6
19,Ben Davies,1.2160029411315900,554,Ben,Davies,Ben Davies,DEF,Spurs,4.5
20,Ben Foster,3.833723545074460,576,Ben,Foster,Ben Foster,GK,Watford,4.1
21,Ben Gibson,0.0,499,Ben,Gibson,Ben Gibson,DEF,Norwich,4.4
22,Ben Mee,3.4588747024536100,157,Ben,Mee,Ben Mee,DEF,Burnley,4.8
23,Callum Wilson,0.0,453,Callum,Wilson,Callum Wilson,FWD,Newcastle,7.2
24,Calum Chambers,0.9139456748962400,9,Calum,Chambers,Calum Chambers,DEF,Arsenal,4.2
25,Christian Benteke,2.2439708709716800,214,Christian,Benteke,Christian Benteke,FWD,Crystal Palace,6.2
26,Christian Kabasele,0.0,584,Christian,Kabasele,Christian Kabasele,DEF,Watford,4.3
27,Craig Cathcart,0.47389739751815800,579,Craig,Cathcart,Craig Cathcart,DEF,Watford,4.3
28,Craig Dawson,1.6039009094238300,630,Craig,Dawson,Craig Dawson,DEF,West Ham,4.9
29,Daniel Amartey,0.0,288,Daniel,Amartey,Daniel Amartey,DEF,Leicester,3.8
30,Danny Ings,2.4221487045288100,61,Danny,Ings,Danny Ings,FWD,Aston Villa,7.7
31,Danny Rose,1.604285478591920,577,Danny,Rose,Danny Rose,DEF,Watford,4.2
32,Danny Welbeck,1.4991530179977400,133,Danny,Welbeck,Danny Welbeck,FWD,Brighton,5.9
33,Dan Gosling,1.6450839042663600,578,Dan,Gosling,Dan Gosling,MID,Watford,4.7
34,Darren Randolph,0.0,623,Darren,Randolph,Darren Randolph,GK,West Ham,4.3
35,David de Gea,4.113921642303470,417,David,de Gea,David de Gea,GK,Man Utd,5.2
36,Demarai Gray,1.0819600820541400,261,Demarai,Gray,Demarai Gray,MID,Everton,5.5
37,Divock Origi,1.407150149345400,362,Divock,Origi,Divock Origi,FWD,Liverpool,4.8
38,Eldin Jakupovic,0.10087829828262300,306,Eldin,Jakupovic,Eldin Jakupovic,GK,Leicester,4.0
39,Eric Bailly,1.4673638343811000,433,Eric,Bailly,Eric Bailly,DEF,Man Utd,4.9
40,Eric Dier,1.5254976749420200,551,Eric,Dier,Eric Dier,DEF,Spurs,4.6
41,Erik Lamela,1.134027361869810,546,Erik,Lamela,Erik Lamela,MID,Spurs,6.0
42,Erik Pieters,2.470125198364260,151,Erik,Pieters,Erik Pieters,DEF,Burnley,4.2
43,Fabian Delph,1.9216220378875700,241,Fabian,Delph,Fabian Delph,MID,Everton,4.3
44,Fernando Luiz Rosa,1.3341822624206500,404,Fernando,Luiz Rosa,Fernando Luiz Rosa,MID,Man City,4.8
45,Fraser Forster,0.9321800470352170,513,Fraser,Forster,Fraser Forster,GK,Southampton,4.4
46,Granit Xhaka,1.823037028312680,6,Granit,Xhaka,Granit Xhaka,MID,Arsenal,4.8
47,Gylfi Sigurdsson,0.0,242,Gylfi,Sigurdsson,Gylfi Sigurdsson,MID,Everton,6.7
48,Harry Kane,3.995924472808840,547,Harry,Kane,Harry Kane,FWD,Spurs,12.3
49,Harry Maguire,1.6797150373458900,420,Harry,Maguire,Harry Maguire,DEF,Man Utd,5.4
50,Harry Winks,0.46438369154930100,556,Harry,Winks,Harry Winks,MID,Spurs,4.4
51,Heung-Min Son,0.0,549,Heung-Min,Son,Heung-Min Son,MID,Spurs,10.7
52,Hugo Lloris,2.162576198577880,544,Hugo,Lloris,Hugo Lloris,GK,Spurs,5.4
53,Jack Butland,1.3839960098266600,221,Jack,Butland,Jack Butland,GK,Crystal Palace,4.4
54,Jack Cork,0.687950611114502,152,Jack,Cork,Jack Cork,MID,Burnley,4.4
55,Jack Stephens,1.561152458190920,517,Jack,Stephens,Jack Stephens,DEF,Southampton,4.4
56,James McArthur,2.801295042037960,213,James,McArthur,James McArthur,MID,Crystal Palace,4.3
57,James Milner,1.5475685596466100,348,James,Milner,James Milner,MID,Liverpool,4.9
58,James Tarkowski,1.6182161569595300,149,James,Tarkowski,James Tarkowski,DEF,Burnley,4.9
59,James Tomkins,0.0,212,James,Tomkins,James Tomkins,DEF,Crystal Palace,4.3
60,James Ward-Prowse,5.302883148193360,519,James,Ward-Prowse,James Ward-Prowse,MID,Southampton,6.3
61,Jamie Vardy,2.6600379943847700,285,Jamie,Vardy,Jamie Vardy,FWD,Leicester,10.3
62,Jarrod Bowen,0.0,636,Jarrod,Bowen,Jarrod Bowen,MID,West Ham,6.8
63,Jay Rodriguez,4.748467445373540,155,Jay,Rodriguez,Jay Rodriguez,FWD,Burnley,5.2
64,Jeffrey Schlupp,1.59818696975708,220,Jeffrey,Schlupp,Jeffrey Schlupp,MID,Crystal Palace,5.4
65,Jesse Lingard,3.1081504821777300,423,Jesse,Lingard,Jesse Lingard,MID,Man Utd,6.7
66,Joel Matip,7.231539249420170,351,Joel,Matip,Joel Matip,DEF,Liverpool,4.9
67,Joel Ward,2.896422863006590,230,Joel,Ward,Joel Ward,DEF,Crystal Palace,4.5
68,Joe Hart,0.6646981239318850,543,Joe,Hart,Joe Hart,GK,,4.5
69,Johann Berg Gudmundsson,0.0,159,Johann Berg,Gudmundsson,Johann Berg Gudmundsson,MID,Burnley,5.4
70,John Stones,1.668544888496400,388,John,Stones,John Stones,DEF,Man City,5.2
71,Jonny Evans,2.686302900314330,281,Jonny,Evans,Jonny Evans,DEF,Leicester,5.4
72,Jordan Henderson,1.3456026315689100,349,Jordan,Henderson,Jordan Henderson,MID,Liverpool,5.1
73,Jordan Pickford,3.9828834533691400,247,Jordan,Pickford,Jordan Pickford,GK,Everton,4.9
74,Joseph Gomez,4.957030773162840,365,Joseph,Gomez,Joseph Gomez,DEF,Liverpool,4.7
75,Joshua King,4.509110450744630,608,Joshua,King,Joshua King,FWD,Watford,5.8
76,Juan Mata,1.5210744142532300,436,Juan,Mata,Juan Mata,MID,Man Utd,4.7
77,Kasper Schmeichel,5.816557884216310,280,Kasper,Schmeichel,Kasper Schmeichel,GK,Leicester,4.8
78,Kelechi Iheanacho,6.720248222351070,293,Kelechi,Iheanacho,Kelechi Iheanacho,FWD,Leicester,6.9
79,Kevin De Bruyne,21.897140502929700,387,Kevin,De Bruyne,Kevin De Bruyne,MID,Man City,12.1
80,Kurt Zouma,0.0,621,Kurt,Zouma,Kurt Zouma,DEF,West Ham,5.4
